asset,market_key,market_title,tf_slug,ce_ts,bot_pnl,bot_spent,candidate_pnl,candidate_spent,candidate_trade_count,delta_pnl
btc,btc:m5:1775341500,"Bitcoin Up or Down - April 4, 6:25PM-6:30PM ET",m5,2026-04-04T22:30:00+00:00,123.23,1084.99,-12.384850746268658,47.355000000000004,2,-135.61485074626867
btc,btc:m15:1775340900,"Bitcoin Up or Down - April 4, 6:15PM-6:30PM ET",m15,2026-04-04T22:30:00+00:00,134.81,2081.14,15.660784313725486,16.299999999999997,1,-119.14921568627452
btc,btc:m5:1775341800,"Bitcoin Up or Down - April 4, 6:30PM-6:35PM ET",m5,2026-04-04T22:35:00+00:00,199.7,904.76,-11.308846153846158,47.355000000000004,2,-211.00884615384615
btc,btc:m5:1775342100,"Bitcoin Up or Down - April 4, 6:35PM-6:40PM ET",m5,2026-04-04T22:40:00+00:00,73.21,516.47,0.0,0.0,0,-73.21
btc,btc:m15:1775341800,"Bitcoin Up or Down - April 4, 6:30PM-6:45PM ET",m15,2026-04-04T22:45:00+00:00,-634.22,2296.57,0.0,0.0,0,634.22
btc,btc:m5:1775342400,"Bitcoin Up or Down - April 4, 6:40PM-6:45PM ET",m5,2026-04-04T22:45:00+00:00,183.4,319.41,0.0,0.0,0,-183.4
btc,btc:m5:1775342700,"Bitcoin Up or Down - April 4, 6:45PM-6:50PM ET",m5,2026-04-04T22:50:00+00:00,-29.91,62.44,-23.925,23.925,1,5.984999999999999
btc,btc:m5:1775343000,"Bitcoin Up or Down - April 4, 6:50PM-6:55PM ET",m5,2026-04-04T22:55:00+00:00,-69.49,1216.63,-23.925,23.925,1,45.565
btc,btc:m5:1775343300,"Bitcoin Up or Down - April 4, 6:55PM-7:00PM ET",m5,2026-04-04T23:00:00+00:00,22.4,828.97,0.0,0.0,0,-22.4
btc,btc:h1:1775340000,"Bitcoin Up or Down - April 4, 6PM ET",h1,2026-04-04T23:00:00+00:00,604.25,6021.26,-1.1525373134328376,12.870000000000001,1,-605.4025373134328
btc,btc:m15:1775342700,"Bitcoin Up or Down - April 4, 6:45PM-7:00PM ET",m15,2026-04-04T23:00:00+00:00,16.53,1667.31,0.0,0.0,0,-16.53
btc,btc:m5:1775343600,"Bitcoin Up or Down - April 4, 7:00PM-7:05PM ET",m5,2026-04-04T23:05:00+00:00,190.6,1228.2,-23.925,23.925,1,-214.525
btc,btc:m5:1775343900,"Bitcoin Up or Down - April 4, 7:05PM-7:10PM ET",m5,2026-04-04T23:10:00+00:00,130.85,1157.89,-23.925,23.925,1,-154.775
btc,btc:m15:1775343600,"Bitcoin Up or Down - April 4, 7:00PM-7:15PM ET",m15,2026-04-04T23:15:00+00:00,-119.47,1238.9,0.0,0.0,0,119.47
btc,btc:m5:1775344200,"Bitcoin Up or Down - April 4, 7:10PM-7:15PM ET",m5,2026-04-04T23:15:00+00:00,6.56,233.93,0.0,0.0,0,-6.56
btc,btc:m5:1775344500,"Bitcoin Up or Down - April 4, 7:15PM-7:20PM ET",m5,2026-04-04T23:20:00+00:00,-104.45,788.29,0.0,0.0,0,104.45
btc,btc:m5:1775344800,"Bitcoin Up or Down - April 4, 7:20PM-7:25PM ET",m5,2026-04-04T23:25:00+00:00,-3.31,588.14,-23.925,23.925,1,-20.615000000000002
btc,btc:m5:1775345100,"Bitcoin Up or Down - April 4, 7:25PM-7:30PM ET",m5,2026-04-04T23:30:00+00:00,-4.0,924.52,0.0,0.0,0,4.0
